LSOA,Total of possible sessions,Total sessions attended,Total sessions missed,Attendance
E01011701,22769,22103,666,0.97
E01011702,20010,19586,424,0.98
E01011703,18928,18357,571,0.97
E01011704,24174,23245,929,0.96
E01011705,33070,31790,1280,0.96
E01011706,34386,33432,954,0.97
E01011707,37910,36757,1153,0.97
E01011708,27773,26991,782,0.97
E01011709,44957,43829,1128,0.98
E01011710,33065,32265,800,0.98
E01011711,32167,31307,860,0.97
E01011712,33699,32429,1270,0.96
E01011713,36864,35592,1272,0.97
E01011714,44898,43391,1507,0.97
E01011715,29259,28374,885,0.97
E01011716,42498,40945,1553,0.96
E01011717,43813,42180,1633,0.96
E01011718,62780,60202,2578,0.96
E01011719,32262,31068,1194,0.96
E01011720,39659,38290,1369,0.97
E01011721,65393,62100,3293,0.95
E01011722,68230,65106,3124,0.95
E01011723,68614,64859,3755,0.95
E01011724,64490,61062,3428,0.95
E01011725,62263,59019,3244,0.95
E01011726,48950,46751,2199,0.96
E01011727,42045,40525,1520,0.96
E01011728,30419,29090,1329,0.96
E01011729,33046,31295,1751,0.95
E01011730,67310,63347,3963,0.94
E01011731,33505,32438,1067,0.97
E01011732,47282,45716,1566,0.97
E01011733,32308,31358,950,0.97
E01011734,77734,74346,3388,0.96
E01011735,62725,59005,3720,0.94
E01011736,32958,31723,1235,0.96
E01011737,45247,43030,2217,0.95
E01011738,32961,31497,1464,0.96
E01011739,51933,49367,2566,0.95
E01011740,374,338,36,0.90
E01011742,294,252,42,0.86
E01011743,2242,2187,55,0.98
E01011744,1127,1044,83,0.93
E01011745,748,728,20,0.97
E01011746,2608,2473,135,0.95
E01011747,1051,1017,34,0.97
E01011748,1500,1470,30,0.98
E01011749,1176,1157,19,0.98
E01011751,2246,2156,90,0.96
E01011752,4112,3874,238,0.94
E01011753,1496,1463,33,0.98
E01011754,376,368,8,0.98
E01011755,1126,1116,10,0.99
E01011756,1122,1078,44,0.96
E01011757,5678,5509,169,0.97
E01011759,1277,1232,45,0.97
E01011760,2984,2907,77,0.97
E01011761,1610,1508,102,0.94
E01011762,2026,1966,60,0.97
E01011764,1280,1262,18,0.99
E01011775,6456,6315,141,0.98
E01011781,374,369,5,0.99
E01011804,700,630,70,0.90
E01011808,400,360,40,0.90
E01011813,746,722,24,0.97
E01011815,744,727,17,0.98
E01011820,374,354,20,0.95
E01011823,364,340,24,0.93
E01011826,372,370,2,1.00
E01011833,374,368,6,0.98
E01011834,266,266,0,1.00
E01011838,374,372,2,1.00
E01011839,372,360,12,0.97
E01011841,748,729,19,0.98
E01011873,5194,5023,171,0.97
E01011874,1858,1857,1,1.00
